Фраза,Показы,Пиллар,Интент,Тип,Сид,Asset,Статус,Приоритет,ЦелевойURL,Причина
куда поступать,870382,C,info,assoc,b04_na_kogo_pojti_uchitsya,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,ВЧ-инфо → хаб выбора + каталоги + /test/
поступить в колледж,429914,C,info,assoc,c01_kuda_postupat_posle_9,both,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
куда поступать после 9,205636,C,info,assoc,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
специальности после 9 класса,205297,C,info,top,c06_specialnosti_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (специальности после 9)
куда поступить после 9 класса,179935,C,info,top,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
колледжи тюмени,160049,C,info,top,g04_kolledzhi_tyumen,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
специальности в колледже,159762,C,info,assoc,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
колледжи перми,154599,C,info,top,g02_kolledzhi_perm,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
кем можно работать,151002,B,info,assoc,b05_kakaya_professiya_podhodit,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Подбор профессии → /test/
профориентация,131285,0,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
поступать ли в колледж,125104,C,info,top,c05_postupit_v_kolledzh,main,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
колледжи красноярска,120101,C,info,top,g01_kolledzhi_krasnoyarsk,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
тест кто я,120070,D,info,assoc,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
профессии после 9 класса,118372,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
образование 9 классов,107325,C,info,assoc,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
на кого учиться,100434,B,info,assoc,c10_s_obschestvoznaniem,main,Создана посадочная,P3,/kuda-postupat-s-obshchestvoznaniem/,Перечень Минобрнауки → направления (готово)
куда можно поступить после 9,99053,C,info,assoc,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
востребованные профессии,98860,E,info,top,e02_vostrebovannye,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных о спросе (hh заблокирован) — не ранжируем
аттестация работников,94651,D,info,assoc,d05_test_na_professiyu,main,Расширить (раздел хаба),P1,/testy-na-proforientaciyu/,«Тест на профессию» → хаб → /test/
колледжи иркутска,93058,C,info,top,g05_kolledzhi_irkutsk,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
техникумы красноярска,89260,C,info,assoc,g01_kolledzhi_krasnoyarsk,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
куда можно поступить после 9 класса,88528,C,info,top,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
в колледж можно поступить после,88321,C,info,top,c05_postupit_v_kolledzh,main,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
специальность это,88203,0,info,assoc,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
какие есть профессии,85165,0,info,assoc,b03_kem_mozhno_stat,main,Расширить существующую,P0,/professiya/,«Кем можно стать» = список профессий → каталог
колледжи воронежа,80748,C,info,top,g03_kolledzhi_voronezh,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
какие есть специальности,80160,D,info,assoc,d06_test_na_vybor_professii,main,Использовать существующую,P1,/test/,Прямой интент квиза
куда поступить после 11 класса,76846,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
пермский колледж,75251,C,info,assoc,g02_kolledzhi_perm,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
в какой колледж поступить,73944,C,info,top,c05_postupit_v_kolledzh,main,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
тюменский колледж,71258,C,info,assoc,g04_kolledzhi_tyumen,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
профессии в колледже,70738,C,info,assoc,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
