№,Фраза,"Показы (broad, снимок 30 дн)",Форм слито,Тип,Пиллар,Интент,Класс,Пол,Предмет,Гео,Сезон,Asset,Флаг,Сиды
1,куда поступать,870382,1,assoc,C,info,—,—,—,—,июнь-июль,main,,b04_na_kogo_pojti_uchitsya
2,поступить в колледж,429914,1,assoc,C,info,—,—,—,—,июнь-июль,both,,c01_kuda_postupat_posle_9
3,куда поступать после 9,205636,1,assoc,C,info,9,—,—,—,июнь-июль,main,,c04_professii_posle_11
4,специальности после 9 класса,205297,1,top,C,info,9,—,—,—,июнь-июль,main,,c06_specialnosti_posle_9
5,куда поступить после 9 класса,179935,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
6,колледжи тюмени,160049,2,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
7,специальности в колледже,159762,1,assoc,C,info,—,—,—,—,июнь-июль,main,,c03_professii_posle_9
8,колледжи перми,154599,2,top,C,info,—,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
9,кем можно работать,151002,1,assoc,B,info,—,—,—,—,март-апр,main,,b05_kakaya_professiya_podhodit
10,профориентация,131285,1,top,0,info,—,—,—,—,сент-окт,main,,p01_proforientaciya
11,поступать ли в колледж,125104,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
12,колледжи красноярска,120101,2,top,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
13,тест кто я,120070,2,assoc,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;d03_test_online
14,профессии после 9 класса,118372,1,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9
15,образование 9 классов,107325,2,assoc,C,info,9,—,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11;c04_professii_posle_11
16,на кого учиться,100434,1,assoc,B,info,—,—,—,—,март-апр,main,,c10_s_obschestvoznaniem
17,куда можно поступить после 9,99053,1,assoc,C,info,9,—,—,—,июнь-июль,main,,c04_professii_posle_11
18,востребованные профессии,98860,4,top,E,info,—,—,—,—,flat,main,,e02_vostrebovannye
19,аттестация работников,94651,1,assoc,D,info,—,—,—,—,сент-окт,main,,d05_test_na_professiyu
20,колледжи иркутска,93058,2,top,C,info,—,—,—,иркутск,июнь-июль,aggregator,,g05_kolledzhi_irkutsk
21,техникумы красноярска,89260,1,assoc,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
22,куда можно поступить после 9 класса,88528,1,top,C,info,9,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9
23,в колледж можно поступить после,88321,3,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
24,специальность это,88203,10,assoc,0,info,—,—,—,—,сент-окт,main,,c08_kuda_postupat_devushke;c09_kuda_postupat_parnyu;c10_s_obschestvoznaniem;c16_s_geografiej;d06_test_na_vybor_professii;e01_professii_spisok;e02_vostrebovannye;e03_vysokooplachivaemye;e04_professii_buduschego;p01_proforientaciya
25,какие есть профессии,85165,4,assoc,0,info,—,—,—,—,сент-окт,main,,b03_kem_mozhno_stat;b04_na_kogo_pojti_uchitsya;b06_kem_pojti_rabotat;p01_proforientaciya
26,колледжи воронежа,80748,2,top,C,info,—,—,—,воронеж,июнь-июль,aggregator,,g03_kolledzhi_voronezh
27,какие есть специальности,80160,3,assoc,D,info,—,—,—,—,сент-окт,main,,d06_test_na_vybor_professii;e01_professii_spisok;e03_vysokooplachivaemye
28,куда поступить после 11 класса,76846,1,top,C,info,11,—,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11
29,пермский колледж,75251,1,assoc,C,info,—,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
30,в какой колледж поступить,73944,2,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
31,тюменский колледж,71258,1,assoc,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
32,профессии в колледже,70738,1,assoc,C,info,—,—,—,—,июнь-июль,main,,c03_professii_posle_9
33,как поступить в колледж,63292,2,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
34,все профессии,61972,4,assoc,0,info,—,—,—,—,сент-окт,main,,b03_kem_mozhno_stat;b04_na_kogo_pojti_uchitsya;b06_kem_pojti_rabotat;p01_proforientaciya
35,профессии будущего,60698,1,top,E,info,—,—,—,—,flat,main,,e04_professii_buduschego
36,теста профориентацию,57405,7,top,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;p01_proforientaciya
37,красноярский техникум,57214,1,assoc,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
38,красноярский колледж,51246,1,assoc,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
39,9 классов какое образование,51221,5,assoc,C,info,9,—,—,—,июнь-июль,main,,c08_kuda_postupat_devushke;c12_s_biologiej;c13_s_informatikoj;c15_s_fizikoj;c16_s_geografiej
40,куда можно поступить после 11,51103,1,assoc,C,info,11,—,—,—,июнь-июль,main,,c03_professii_posle_9
41,список профессий,50640,11,top,E,info,—,—,—,—,flat,main,,c08_kuda_postupat_devushke;c09_kuda_postupat_parnyu;c16_s_geografiej;e01_professii_spisok;p01_proforientaciya;p06_projti_proforientaciyu
42,поступить в колледж после 9 класса,49912,1,top,C,info,9,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
43,11 классов какое образование,46678,2,assoc,C,info,11,—,—,—,июнь-июль,main,,c08_kuda_postupat_devushke;c16_s_geografiej
44,образование после колледжа,43963,2,assoc,C,info,—,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9;c03_professii_posle_9
45,спо образование,43011,3,assoc,C,info,—,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9;c06_specialnosti_posle_9;c12_s_biologiej
46,что такое вуз,41405,1,assoc,C,info,—,—,—,—,июнь-июль,main,,c08_kuda_postupat_devushke
47,куда поступить с обществознанием,37332,1,top,C,info,—,—,обществознание,—,июнь-июль,main,,c10_s_obschestvoznaniem
48,поступить в колледж баллы,35573,1,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
49,куда можно поступить после 11 класса,34573,1,top,C,info,11,—,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11
50,выбор профессии,32837,5,assoc,B,info,—,—,—,—,март-апр,main,,b04_na_kogo_pojti_uchitsya;c08_kuda_postupat_devushke;c09_kuda_postupat_parnyu;p01_proforientaciya;p06_projti_proforientaciyu
51,поступить в медицинский колледж,31641,2,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
52,куда поступить после колледжа,31625,2,top,C,info,—,—,—,—,июнь-июль,main,,c03_professii_posle_9;c05_postupit_v_kolledzh
53,тест на профессию,31473,3,top,D,info,—,—,—,—,сент-окт,main,,d05_test_na_professiyu
54,поступить в колледж 11 класса,31324,1,top,C,info,11,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
55,колледж какое образование,31295,10,assoc,C,info,—,—,—,—,июнь-июль,main,,c01_kuda_postupat_posle_9;c02_kuda_postupat_posle_11;c03_professii_posle_9;c04_professii_posle_11;c06_specialnosti_posle_9;c12_s_biologiej;c13_s_informatikoj;c16_s_geografiej
56,образование техникум,28625,1,assoc,C,info,—,—,—,—,июнь-июль,main,,c02_kuda_postupat_posle_11
57,куда поступить с биологией,28109,1,top,C,info,—,—,биология,—,июнь-июль,main,,c12_s_biologiej
58,тестирование это,27527,3,assoc,D,info,—,—,—,—,сент-окт,main,,d04_projti_test;d05_test_na_professiyu;d06_test_na_vybor_professii
59,какие профессии востребованы,26386,1,top,E,info,—,—,—,—,flat,main,,e02_vostrebovannye
60,после 9 можно поступить в колледж,26043,2,top,C,info,9,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
61,колледжи тюмень 9,25763,2,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
62,колледжи перми после 9,24926,1,top,C,info,9,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
63,техникумы иркутска,24651,1,assoc,C,info,—,—,—,иркутск,июнь-июль,aggregator,,g05_kolledzhi_irkutsk
64,профессии после 11 класса,24275,1,top,C,info,11,—,—,—,июнь-июль,main,,c04_professii_posle_11
65,списки поступающих в колледж,23658,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
66,9 классов образования это какое образование,23173,5,assoc,C,info,9,—,—,—,июнь-июль,main,,c11_s_istoriej;c12_s_biologiej;c13_s_informatikoj;c15_s_fizikoj;c16_s_geografiej
67,техникумы воронежа,23074,1,assoc,C,info,—,—,—,воронеж,июнь-июль,aggregator,,g03_kolledzhi_voronezh
68,колледж пермь официальный,22664,1,top,C,info,—,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
69,11 классов это какое образование,22370,3,assoc,C,info,11,—,—,—,июнь-июль,main,,c08_kuda_postupat_devushke;c11_s_istoriej;c15_s_fizikoj
70,можно после 9 класса поступить в колледж,22303,1,top,C,info,9,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
71,тест на ориентацию,21825,1,assoc,D,info,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu
72,на кого можно поступить после 9,21733,1,assoc,C,info,9,—,—,—,июнь-июль,main,,c04_professii_posle_11
73,востребованные профессии 2026,21700,1,top,E,info,—,—,—,—,flat,main,,e02_vostrebovannye
74,специальности в колледжах после 9 класса,21612,2,top,C,info,9,—,—,—,июнь-июль,main,,c06_specialnosti_posle_9
75,колледжи тюмень 9 класс,21567,2,top,C,info,9,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
76,колледж 9 красноярск,21244,2,top,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
77,сайты колледжей перми,21214,1,top,C,info,—,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
78,профессии для детей,21141,1,assoc,A,info,—,—,—,—,сент-окт,main,,a04_prof_dlya_rebenka
79,колледжи 9 класса пермь,21107,2,top,C,info,9,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
80,куда можно поступить с обществознанием,20740,1,top,C,info,—,—,обществознание,—,июнь-июль,main,,c10_s_obschestvoznaniem
81,колледж пермь официальный сайт,20707,1,top,C,info,—,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
82,после какого можно поступить в колледж,20530,1,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
83,куда поступать с химией,20368,1,top,C,info,—,—,химия,—,июнь-июль,main,,c14_s_himiej
84,моя профессия,20144,2,assoc,0,info,—,—,—,—,сент-окт,main,,p01_proforientaciya;p06_projti_proforientaciyu
85,куда поступить девушке,19643,1,top,C,info,—,f,—,—,июнь-июль,main,,c08_kuda_postupat_devushke
86,самые высокооплачиваемые профессии,19589,2,top,E,info,—,—,—,—,flat,main,,e03_vysokooplachivaemye
87,куда поступать с историей,18780,1,top,C,info,—,—,история,—,июнь-июль,main,,c11_s_istoriej
88,профессии после 9 класса для девушек,18527,1,top,C,info,9,f,—,—,июнь-июль,main,,c03_professii_posle_9
89,на кого пойти учиться,18480,7,top,B,info,—,—,—,—,март-апр,main,,b04_na_kogo_pojti_uchitsya;c08_kuda_postupat_devushke;c09_kuda_postupat_parnyu;c10_s_obschestvoznaniem;c15_s_fizikoj
90,техникум это,18349,1,assoc,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
91,колледж тюмень официальный,17884,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
92,самые востребованные профессии,17617,3,top,E,info,—,—,—,—,flat,main,,b03_kem_mozhno_stat;e02_vostrebovannye;p01_proforientaciya
93,после какого класса поступают в колледж,17500,2,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
